datetime open high low close turnover/amount(index)
1990-12-19 96.05 99.98 95.79 99.98 494311
1990-12-20 104.30 104.39 99.98 104.39 84992
1990-12-21 109.07 109.13 103.73 109.13 16096
1990-12-24 113.57 114.55 109.13 114.55 31063
1990-12-25 120.09 120.25 114.55 120.25 6510
1990-12-26 125.27 125.27 120.25 125.27 53730
1990-12-27 125.27 125.28 125.27 125.28 104644
1990-12-28 126.39 126.45 125.28 126.45 88031
1990-12-31 126.56 127.61 126.48 127.61 60030
1991-01-02 127.61 128.84 127.61 128.84 59098
1991-01-03 128.84 130.13 128.84 130.13 93918
1991-01-04 131.27 131.44 130.13 131.44 261904
1991-01-07 131.99 132.06 131.44 132.06 141737
1991-01-08 132.62 132.68 132.06 132.68 1806867
1991-01-09 133.30 133.34 132.68 133.34 3228719
1991-01-10 133.93 133.97 133.34 133.97 5399457
1991-01-11 134.61 134.61 134.51 134.60 7115732
1991-01-14 134.11 135.19 134.11 134.66 6883604
1991-01-15 134.21 134.74 134.19 134.74 1010364
1991-01-16 134.19 134.74 134.13 134.24 270133
1991-01-17 133.66 134.25 133.65 134.25 334238
1991-01-18 133.69 134.25 133.66 134.24 1570833
1991-01-21 133.69 134.24 133.66 134.24 1029305
1991-01-22 133.72 134.24 133.66 133.72 180787
1991-01-23 133.16 133.72 133.13 133.16 575928
1991-01-24 132.61 133.16 132.57 132.61 917392
1991-01-25 132.05 132.07 132.03 132.05 1722246
1991-01-28 131.46 131.55 131.46 131.46 2565573
1991-01-29 130.94 130.97 130.94 130.94 710741
1991-01-30 130.44 130.94 130.41 130.44 260701
1991-01-31 129.93 130.46 129.93 129.97 244662
1991-02-01 129.50 129.97 129.44 129.51 140871
1991-02-04 129.05 129.58 129.05 129.05 273652
1991-02-05 128.56 128.58 128.53 128.58 4250084
1991-02-06 129.13 129.15 128.06 129.13 3847268
1991-02-07 129.74 129.79 129.13 129.79 1504814
1991-02-08 130.36 130.38 129.79 130.38 879868
1991-02-11 130.91 130.97 130.38 130.97 4834876
1991-02-12 131.54 131.56 130.97 131.35 1986983
1991-02-13 131.93 131.93 131.35 131.91 673738
1991-02-14 132.53 132.53 132.30 132.53 1883072
1991-02-19 133.12 133.13 133.08 133.13 1216176
1991-02-20 133.63 133.66 133.13 133.66 520724
1991-02-21 134.24 134.28 133.66 134.28 1771726
1991-02-22 134.85 134.87 134.28 134.87 2003776
1991-02-25 134.37 134.87 134.33 134.40 621015
1991-02-26 133.90 134.44 133.90 133.93 2545711
1991-02-27 133.44 133.97 133.44 133.47 141958
1991-02-28 132.99 133.52 132.97 133.01 1187974
1991-03-01 132.53 132.53 132.47 132.53 3777320
1991-03-04 132.09 132.09 131.97 131.99 1418017
1991-03-05 131.41 131.99 131.41 131.46 934706
1991-03-06 130.88 130.94 130.88 130.94 1345390
1991-03-07 130.41 130.94 130.41 130.41 427475
1991-03-08 129.84 130.41 129.84 129.88 541770
1991-03-11 129.30 129.88 129.30 129.31 299524
1991-03-12 128.72 129.31 128.72 128.77 783099
1991-03-13 126.13 128.77 126.13 126.15 418280
1991-03-14 125.61 126.15 125.61 125.63 242557
1991-03-15 125.08 125.62 125.08 125.17 403520
1991-03-18 124.70 125.17 124.69 124.71 1210411
1991-03-19 124.23 124.71 124.22 124.22 682933
1991-03-20 123.66 124.21 123.63 123.66 433147
1991-03-21 123.14 123.66 123.12 123.12 131064
1991-03-22 122.62 123.12 122.62 122.62 120129
1991-03-25 122.12 122.62 122.10 122.12 324176
1991-03-26 121.62 122.14 121.62 121.62 709040
1991-03-27 121.12 121.64 121.12 121.12 366005
1991-03-28 120.65 121.15 120.61 120.61 505657
1991-03-29 120.16 120.61 120.11 120.19 2186180
1991-04-01 120.69 120.73 119.68 120.73 5666672
1991-04-02 121.21 121.29 120.73 121.21 387611
1991-04-03 121.71 121.71 121.21 121.71 977171
1991-04-04 122.20 122.20 121.24 121.72 5045893
1991-04-05 121.07 121.73 121.03 121.54 6035557
1991-04-08 121.11 121.11 121.05 121.09 1675834
1991-04-09 120.60 121.10 120.60 120.62 297122
1991-04-10 120.15 120.62 120.09 120.16 281235
1991-04-11 119.64 120.16 119.62 119.64 576817
1991-04-12 119.20 119.65 119.15 119.21 301333
1991-04-15 118.73 119.22 118.72 118.77 386981
1991-04-16 118.36 118.77 118.34 118.34 177216
1991-04-17 117.92 118.34 117.89 117.90 259495
1991-04-18 117.45 117.93 117.45 117.45 133927
1991-04-19 117.08 117.50 117.05 117.08 424675
1991-04-22 116.63 117.08 116.58 116.63 321322
1991-04-23 116.21 116.63 116.15 116.19 264379
1991-04-24 115.70 116.19 115.70 115.79 121786
1991-04-25 115.38 115.79 115.33 115.36 998928
1991-04-26 116.31 116.31 114.52 115.56 5806770
1991-04-29 114.86 116.29 114.75 114.75 3610730
1991-04-30 113.89 114.87 113.89 113.94 2734172
1991-05-02 113.04 113.20 113.03 113.16 1124048
1991-05-03 112.46 113.17 112.30 112.41 2386862
1991-05-06 111.65 112.41 111.57 111.61 1423590
1991-05-07 110.80 110.90 110.80 110.82 907005
1991-05-08 110.16 110.82 110.00 110.03 375190
1991-05-09 109.36 110.12 109.31 109.32 1215566
1991-05-10 108.61 109.40 108.53 108.53 313181
1991-05-13 107.88 107.88 107.74 107.84 182296
1991-05-14 107.21 107.84 107.06 107.19 185380
1991-05-15 106.56 106.60 106.42 106.57 307736
1991-05-16 105.83 105.86 105.69 105.77 1445855
1991-05-17 105.12 106.75 104.96 106.75 7633140
1991-05-20 107.76 107.82 106.71 107.82 924212
1991-05-21 108.89 108.89 108.62 108.81 1309557
1991-05-22 109.71 109.82 108.11 108.25 7967008
1991-05-23 107.52 109.16 107.35 109.08 2770507
1991-05-24 110.07 110.08 109.82 110.08 661006
1991-05-27 111.05 111.07 109.47 110.66 3827789
1991-05-28 111.61 111.68 111.36 111.68 970461
1991-05-29 112.75 112.75 111.67 112.75 1320629
1991-05-30 113.74 113.82 112.77 113.82 753456
1991-05-31 114.83 114.83 113.84 114.83 1470487
1991-06-03 115.90 115.97 114.89 115.97 1643078
1991-06-04 117.12 117.12 116.83 117.12 2018633
1991-06-05 118.17 118.17 117.14 118.17 279283
1991-06-06 119.26 119.33 118.17 119.31 160508
1991-06-07 120.46 120.47 119.35 120.47 83206
1991-06-10 121.65 121.67 120.47 121.67 458929
1991-06-11 122.89 122.89 121.67 122.89 375012
1991-06-12 123.90 124.11 122.89 124.11 735371
1991-06-13 125.33 125.34 123.65 125.34 11563763
1991-06-14 124.47 126.34 124.47 124.53 3541098
1991-06-17 125.63 125.77 123.54 125.77 4056679
1991-06-18 127.03 127.03 126.67 127.03 1015149
1991-06-19 128.12 128.29 127.03 128.29 744123
1991-06-20 129.55 129.57 129.21 129.57 1321261
1991-06-21 130.72 130.86 128.81 130.86 7746480
1991-06-24 132.10 132.16 131.80 132.16 1657788
1991-06-25 133.47 133.49 132.16 133.49 1296047
1991-06-26 134.83 134.83 133.49 134.83 2149983
1991-06-27 136.04 136.19 134.83 136.19 2521206
1991-06-28 137.41 137.56 136.19 137.56 3032950
1991-07-01 136.63 138.62 136.56 136.85 12469884
1991-07-02 135.91 135.96 135.69 135.96 3794100
1991-07-03 135.28 135.96 134.97 135.27 1818504
1991-07-04 136.63 136.63 134.19 136.63 8095138
1991-07-05 136.01 137.68 135.90 135.96 9394861
1991-07-08 135.26 135.28 134.93 135.28 2925933
1991-07-09 136.56 136.57 134.31 134.63 4174836
1991-07-10 134.40 135.60 133.72 133.99 2894591
1991-07-11 133.22 133.99 133.13 133.38 2417896
1991-07-12 132.80 133.38 132.41 132.80 1484090
1991-07-15 133.90 134.10 131.87 133.13 5534900
1991-07-16 134.38 134.47 133.13 134.47 1328502
1991-07-17 135.81 135.81 135.38 135.81 397524
1991-07-18 137.16 137.16 135.81 137.16 464416
1991-07-19 137.66 138.54 136.66 136.69 5242826
1991-07-22 138.07 138.07 136.69 138.07 1423205
1991-07-23 139.35 139.38 138.07 139.38 3548584
1991-07-24 140.66 140.74 138.69 140.68 2901485
1991-07-25 140.19 141.01 139.99 140.19 4080885
1991-07-26 140.11 141.46 139.27 140.66 4520783
1991-07-29 141.22 141.72 140.81 141.52 2350293
1991-07-30 142.38 142.44 141.38 142.38 2718049
1991-07-31 143.72 143.80 142.38 143.80 1993205
1991-08-01 145.12 145.24 143.80 145.24 2310502
1991-08-02 146.49 146.68 145.44 146.68 5825142
1991-08-05 148.06 148.15 146.68 148.15 2593974
1991-08-06 149.62 149.62 148.15 149.62 1065505
1991-08-07 150.93 151.12 149.62 151.12 580236
1991-08-08 152.57 152.61 151.12 152.61 1045377
1991-08-09 153.90 154.10 152.61 154.10 1990447
1991-08-12 155.34 155.54 154.10 155.54 2154199
1991-08-13 156.87 157.07 155.54 157.07 10529728
1991-08-14 158.30 158.63 158.11 158.63 2929235
1991-08-15 159.91 160.21 158.63 160.21 850781
1991-08-16 161.56 161.60 160.21 161.60 581335
1991-08-19 163.21 163.21 161.60 163.21 614977
1991-08-20 164.74 164.84 163.21 164.84 388263
