datetime open high low close turnover/amount(index)
2005-02-23 0.590 0.591 0.575 0.585 0
2005-02-24 0.585 0.585 0.577 0.585 0
2005-02-25 0.586 0.596 0.584 0.589 0
2005-02-28 0.587 0.588 0.579 0.581 0
2005-03-01 0.579 0.582 0.574 0.576 0
2005-03-02 0.576 0.583 0.566 0.568 0
2005-03-03 0.567 0.570 0.563 0.568 0
2005-03-04 0.568 0.574 0.566 0.569 0
2005-03-07 0.569 0.574 0.569 0.571 0
2005-03-08 0.573 0.584 0.572 0.583 0
2005-03-09 0.583 0.587 0.578 0.582 0
2005-03-10 0.581 0.581 0.561 0.562 0
2005-03-11 0.562 0.565 0.559 0.564 0
2005-03-14 0.564 0.573 0.554 0.566 0
2005-03-15 0.565 0.565 0.551 0.552 0
2005-03-16 0.550 0.552 0.541 0.543 0
2005-03-17 0.543 0.546 0.536 0.537 0
2005-03-18 0.537 0.541 0.530 0.533 0
2005-03-21 0.533 0.535 0.530 0.533 0
2005-03-22 0.533 0.534 0.516 0.517 0
2005-03-23 0.516 0.520 0.509 0.513 0
2005-03-24 0.511 0.516 0.506 0.515 0
2005-03-25 0.515 0.518 0.511 0.514 0
2005-03-28 0.512 0.514 0.506 0.511 0
2005-03-29 0.511 0.520 0.511 0.514 0
2005-03-30 0.513 0.513 0.500 0.502 0
2005-03-31 0.501 0.504 0.495 0.503 0
2005-04-01 0.502 0.543 0.499 0.538 0
2005-04-04 0.523 0.527 0.513 0.519 0
2005-04-05 0.517 0.522 0.511 0.514 0
2005-04-06 0.511 0.534 0.508 0.527 0
2005-04-07 0.527 0.548 0.524 0.533 0
2005-04-08 0.533 0.545 0.528 0.545 0
2005-04-11 0.542 0.550 0.536 0.539 0
2005-04-12 0.539 0.541 0.529 0.530 0
2005-04-13 0.540 0.551 0.539 0.549 0
2005-04-14 0.549 0.550 0.537 0.537 0
2005-04-15 0.536 0.536 0.526 0.527 0
2005-04-18 0.524 0.528 0.514 0.517 0
2005-04-19 0.517 0.521 0.513 0.520 0
2005-04-20 0.519 0.519 0.505 0.506 0
2005-04-21 0.507 0.513 0.502 0.506 0
2005-04-22 0.508 0.511 0.504 0.507 0
2005-04-25 0.506 0.506 0.495 0.499 0
2005-04-26 0.499 0.505 0.497 0.502 0
2005-04-27 0.505 0.505 0.496 0.497 0
2005-04-28 0.496 0.507 0.492 0.506 0
2005-04-29 0.504 0.507 0.494 0.497 0
2005-05-09 0.509 0.510 0.488 0.489 0
2005-05-10 0.489 0.494 0.479 0.492 0
2005-05-11 0.491 0.493 0.485 0.486 0
2005-05-12 0.484 0.486 0.468 0.469 0
2005-05-13 0.467 0.478 0.464 0.471 0
2005-05-16 0.471 0.471 0.456 0.459 0
2005-05-17 0.459 0.469 0.455 0.463 0
2005-05-18 0.461 0.470 0.456 0.464 0
2005-05-19 0.463 0.468 0.455 0.464 0
2005-05-20 0.463 0.469 0.461 0.466 0
2005-05-23 0.462 0.462 0.451 0.452 0
2005-05-24 0.450 0.453 0.442 0.450 0
2005-05-25 0.449 0.458 0.446 0.452 0
2005-05-26 0.452 0.455 0.443 0.445 0
2005-05-27 0.444 0.448 0.437 0.439 0
2005-05-30 0.436 0.448 0.431 0.445 0
2005-05-31 0.445 0.451 0.442 0.447 0
2005-06-01 0.445 0.448 0.433 0.435 0
2005-06-02 0.433 0.434 0.413 0.416 0
2005-06-03 0.417 0.419 0.409 0.414 0
2005-06-06 0.413 0.430 0.409 0.429 0
2005-06-07 0.427 0.444 0.425 0.429 0
2005-06-08 0.431 0.493 0.431 0.490 0
2005-06-09 0.489 0.509 0.479 0.498 0
2005-06-10 0.496 0.496 0.479 0.484 0
2005-06-13 0.485 0.488 0.470 0.483 0
2005-06-14 0.483 0.490 0.476 0.477 0
2005-06-15 0.474 0.475 0.462 0.464 0
2005-06-16 0.462 0.476 0.462 0.475 0
2005-06-17 0.479 0.491 0.478 0.481 0
2005-06-20 0.494 0.514 0.486 0.513 0
2005-06-21 0.513 0.513 0.501 0.503 0
2005-06-22 0.501 0.508 0.498 0.507 0
2005-06-23 0.505 0.507 0.500 0.503 0
2005-06-24 0.500 0.504 0.495 0.503 0
2005-06-27 0.506 0.519 0.506 0.517 0
2005-06-28 0.513 0.513 0.504 0.511 0
2005-06-29 0.513 0.514 0.498 0.500 0
2005-06-30 0.499 0.499 0.476 0.478 0
2005-07-01 0.477 0.478 0.471 0.476 0
2005-07-04 0.473 0.473 0.463 0.470 0
2005-07-05 0.469 0.469 0.461 0.463 0
2005-07-06 0.463 0.468 0.458 0.459 0
2005-07-07 0.458 0.463 0.457 0.459 0
2005-07-08 0.457 0.457 0.446 0.452 0
2005-07-11 0.460 0.473 0.449 0.450 0
2005-07-12 0.448 0.483 0.443 0.481 0
2005-07-13 0.477 0.479 0.469 0.474 0
2005-07-14 0.473 0.488 0.469 0.477 0
2005-07-15 0.479 0.483 0.472 0.475 0
2005-07-18 0.471 0.475 0.469 0.473 0
2005-07-19 0.471 0.478 0.471 0.472 0
2005-07-20 0.473 0.483 0.472 0.481 0
2005-07-21 0.480 0.485 0.478 0.484 0
2005-07-22 0.489 0.504 0.483 0.496 0
2005-07-25 0.494 0.496 0.491 0.493 0
2005-07-26 0.493 0.510 0.492 0.505 0
2005-07-27 0.504 0.512 0.502 0.512 0
2005-07-28 0.512 0.515 0.505 0.508 0
2005-07-29 0.508 0.509 0.503 0.506 0
2005-08-01 0.506 0.514 0.505 0.507 0
2005-08-02 0.507 0.515 0.505 0.514 0
2005-08-03 0.514 0.522 0.513 0.516 0
2005-08-04 0.515 0.518 0.512 0.514 0
2005-08-05 0.514 0.536 0.514 0.536 0
2005-08-08 0.537 0.543 0.535 0.537 0
2005-08-09 0.537 0.539 0.531 0.538 0
2005-08-10 0.538 0.542 0.530 0.539 0
2005-08-11 0.540 0.551 0.539 0.549 0
2005-08-12 0.550 0.552 0.542 0.545 0
2005-08-15 0.551 0.564 0.547 0.563 0
2005-08-16 0.563 0.565 0.545 0.548 0
2005-08-17 0.549 0.559 0.540 0.559 0
2005-08-18 0.559 0.562 0.530 0.533 0
2005-08-19 0.531 0.543 0.531 0.539 0
2005-08-22 0.540 0.548 0.537 0.545 0
2005-08-23 0.545 0.547 0.535 0.539 0
2005-08-24 0.541 0.554 0.541 0.549 0
2005-08-25 0.548 0.553 0.544 0.549 0
2005-08-26 0.548 0.549 0.545 0.549 0
2005-08-29 0.548 0.548 0.536 0.539 0
2005-08-30 0.537 0.540 0.535 0.535 0
2005-08-31 0.534 0.544 0.534 0.544 0
2005-09-01 0.544 0.555 0.541 0.553 0
2005-09-02 0.554 0.556 0.550 0.554 0
2005-09-05 0.554 0.557 0.549 0.554 0
2005-09-06 0.554 0.554 0.542 0.543 0
2005-09-07 0.542 0.548 0.540 0.548 0
2005-09-08 0.548 0.554 0.547 0.550 0
2005-09-09 0.549 0.555 0.547 0.550 0
2005-09-12 0.548 0.551 0.546 0.549 0
2005-09-13 0.549 0.555 0.547 0.554 0
2005-09-14 0.554 0.559 0.554 0.559 0
2005-09-15 0.559 0.560 0.556 0.557 0
2005-09-16 0.557 0.558 0.554 0.555 0
2005-09-19 0.554 0.555 0.552 0.554 0
2005-09-20 0.554 0.556 0.548 0.548 0
2005-09-21 0.548 0.549 0.537 0.539 0
