date,open,high,close,low,volume,amount
1995-03-20,1.9,1.92,1.65,1.65,7272400.0,65356288.0
1995-03-21,1.59,1.61,1.58,1.53,2520100.0,20689919.0
1995-03-22,1.58,1.64,1.63,1.55,2991300.0,25223002.0
1995-03-23,1.65,1.65,1.59,1.59,1621800.0,13860979.0
1995-03-24,1.58,1.62,1.61,1.57,869700.0,7261582.0
1995-03-27,1.59,1.61,1.59,1.58,1072400.0,9012656.0
1995-03-28,1.59,1.59,1.57,1.56,749000.0,6196883.0
1995-03-29,1.57,1.59,1.59,1.55,568900.0,4684650.0
1995-03-30,1.59,1.6,1.56,1.55,815400.0,6808912.0
1995-03-31,1.55,1.59,1.57,1.55,426500.0,3511797.0
1995-04-03,1.58,1.58,1.57,1.55,569700.0,4705427.0
1995-04-04,1.56,1.58,1.58,1.55,629300.0,5177060.0
1995-04-05,1.58,1.59,1.55,1.55,461300.0,3830522.0
1995-04-06,1.55,1.59,1.58,1.55,287500.0,2368634.0
1995-04-07,1.58,1.74,1.71,1.57,3571300.0,31681758.0
1995-04-10,1.74,1.81,1.77,1.73,3704900.0,34620962.0
1995-04-11,1.77,1.77,1.65,1.65,2198100.0,19620142.0
1995-04-12,1.63,1.7,1.67,1.62,1098200.0,9638947.0
1995-04-13,1.67,1.69,1.63,1.63,604900.0,5270726.0
1995-04-14,1.6,1.66,1.66,1.6,441100.0,3816187.0
1995-04-17,1.66,1.67,1.64,1.63,295100.0,2554063.0
1995-04-18,1.63,1.65,1.61,1.61,276400.0,2365820.0
1995-04-19,1.61,1.64,1.64,1.61,259300.0,2232000.0
1995-04-20,1.66,1.68,1.67,1.63,456500.0,3980428.0
1995-04-21,1.67,1.67,1.63,1.62,564500.0,4893668.0
1995-04-24,1.61,1.61,1.56,1.55,500200.0,4157000.0
1995-04-25,1.55,1.57,1.57,1.53,398200.0,3252957.0
1995-04-26,1.56,1.59,1.51,1.51,587400.0,4730135.0
1995-04-27,1.48,1.55,1.42,1.31,1359300.0,10169526.0
1995-04-28,1.41,1.46,1.44,1.4,745200.0,5661957.0
1995-05-02,1.44,1.44,1.41,1.4,167200.0,1247337.0
1995-05-03,1.42,1.44,1.41,1.4,197800.0,1479904.0
1995-05-04,1.42,1.42,1.37,1.36,192200.0,1393683.0
1995-05-05,1.35,1.39,1.38,1.35,118000.0,849526.0
1995-05-08,1.39,1.39,1.38,1.36,119500.0,866895.0
1995-05-09,1.39,1.4,1.39,1.37,105900.0,773724.0
1995-05-10,1.39,1.39,1.33,1.33,261800.0,1850141.0
1995-05-11,1.33,1.36,1.32,1.31,165400.0,1156036.0
1995-05-12,1.33,1.5,1.38,1.32,482300.0,3524101.0
1995-05-15,1.38,1.39,1.38,1.36,107700.0,780692.0
1995-05-16,1.38,1.38,1.37,1.35,62600.0,450926.0
1995-05-17,1.37,1.39,1.38,1.36,83100.0,601376.0
1995-05-18,1.71,2.09,2.01,1.71,5934200.0,60599866.0
1995-05-19,1.94,2.25,2.24,1.94,3749500.0,42232756.0
1995-05-22,2.3,2.3,2.17,2.05,2862200.0,33107816.0
1995-05-23,1.9,1.99,1.75,1.69,3100200.0,30047900.0
1995-05-24,1.7,1.8,1.73,1.65,1069900.0,9716362.0
1995-05-25,1.73,1.78,1.62,1.61,681800.0,6111072.0
1995-05-26,1.58,1.82,1.7,1.56,1336000.0,11896183.0
1995-05-29,1.7,1.7,1.68,1.64,387800.0,3469628.0
1995-05-30,1.69,1.69,1.67,1.65,218700.0,1910000.0
1995-05-31,1.63,1.66,1.65,1.63,173800.0,1516435.0
1995-06-01,1.65,1.71,1.7,1.65,105600.0,932237.0
1995-06-02,1.71,1.73,1.68,1.68,277500.0,2491211.0
1995-06-05,1.68,1.69,1.63,1.59,158300.0,1371306.0
1995-06-06,1.6,1.62,1.61,1.59,165700.0,1404340.0
1995-06-07,1.6,1.68,1.68,1.6,224600.0,1943815.0
1995-06-08,1.67,1.68,1.62,1.61,303300.0,2625168.0
1995-06-09,1.61,1.64,1.62,1.61,142800.0,1223085.0
1995-06-12,1.58,1.64,1.61,1.58,141100.0,1192198.0
1995-06-13,1.61,1.62,1.61,1.61,77300.0,657419.0
1995-06-14,1.61,1.61,1.59,1.58,132000.0,1112555.0
1995-06-15,1.58,1.59,1.48,1.47,531900.0,4216848.0
1995-06-16,1.48,1.52,1.5,1.45,303700.0,2384974.0
1995-06-19,1.48,1.5,1.48,1.46,106400.0,825470.0
1995-06-20,1.48,1.5,1.48,1.47,103200.0,806788.0
1995-06-21,1.47,1.51,1.5,1.47,82200.0,644606.0
1995-06-22,1.49,1.5,1.48,1.48,65600.0,513081.0
1995-06-26,1.48,1.5,1.5,1.48,67000.0,527081.0
1995-06-27,1.51,1.51,1.49,1.49,95300.0,752682.0
1995-06-28,1.5,1.5,1.47,1.47,57000.0,444499.0
1995-06-29,1.48,1.48,1.47,1.46,58600.0,453121.0
1995-06-30,1.47,1.47,1.45,1.44,124400.0,946000.0
1995-07-03,1.43,1.43,1.42,1.41,67100.0,502758.0
1995-07-04,1.42,1.44,1.42,1.41,77100.0,578169.0
1995-07-05,1.46,1.46,1.45,1.43,63100.0,482767.0
1995-07-06,1.44,1.47,1.44,1.44,180100.0,1385187.0
1995-07-07,1.44,1.53,1.51,1.44,474000.0,3748747.0
1995-07-10,1.52,1.54,1.5,1.48,220700.0,1757370.0
1995-07-11,1.47,1.52,1.45,1.43,225200.0,1742719.0
1995-07-12,1.44,1.47,1.46,1.44,120600.0,921382.0
1995-07-13,1.45,1.56,1.51,1.44,378600.0,3009727.0
1995-07-14,1.51,1.53,1.49,1.49,141600.0,1119768.0
1995-07-17,1.51,1.55,1.53,1.48,512000.0,4128373.0
1995-07-18,1.52,1.54,1.51,1.49,217100.0,1723319.0
1995-07-19,1.51,1.51,1.45,1.45,288800.0,2242971.0
1995-07-20,1.49,1.49,1.46,1.45,114100.0,877733.0
1995-07-21,1.47,1.47,1.44,1.44,231500.0,1766763.0
1995-07-24,1.46,1.46,1.46,1.44,192900.0,1473773.0
1995-07-25,1.45,1.45,1.45,1.44,81800.0,622176.0
1995-07-26,1.44,1.47,1.44,1.44,97000.0,739277.0
1995-07-27,1.44,1.47,1.47,1.44,126900.0,963994.0
1995-07-28,1.47,1.48,1.44,1.44,93000.0,710922.0
1995-07-31,1.44,1.45,1.44,1.44,29400.0,223454.0
1995-08-01,1.44,1.46,1.45,1.43,161200.0,1222995.0
1995-08-02,1.46,1.55,1.46,1.45,213200.0,1648483.0
1995-08-03,1.44,1.46,1.45,1.44,61700.0,471272.0
1995-08-07,1.45,1.49,1.49,1.44,188000.0,1454523.0
1995-08-08,1.49,1.52,1.46,1.46,155700.0,1220992.0
1995-08-09,1.46,1.46,1.46,1.44,54700.0,419265.0
1995-08-10,1.48,1.48,1.46,1.44,139800.0,1069379.0
1995-08-11,1.44,1.48,1.44,1.4,239400.0,1806579.0
1995-08-14,1.44,1.46,1.46,1.43,503100.0,3816602.0
1995-08-15,1.46,1.48,1.46,1.44,269900.0,2080814.0
1995-08-16,1.46,1.46,1.43,1.42,103400.0,780931.0
1995-08-17,1.43,1.43,1.4,1.4,346300.0,2574675.0
1995-08-18,1.4,1.5,1.44,1.4,478000.0,3618940.0
1995-08-21,1.46,1.46,1.4,1.4,224300.0,1677788.0
1995-08-22,1.39,1.41,1.39,1.39,103400.0,761582.0
1995-08-23,1.4,1.4,1.38,1.37,153900.0,1113491.0
1995-08-24,1.33,1.39,1.36,1.33,137400.0,980199.0
1995-08-25,1.36,1.36,1.33,1.33,174900.0,1234899.0
1995-08-28,1.27,1.28,1.26,1.24,329300.0,2189682.0
1995-08-29,1.26,1.26,1.23,1.23,244300.0,1598569.0
1995-08-30,1.23,1.23,1.18,1.18,182700.0,1150912.0
1995-08-31,1.16,1.17,1.17,1.16,134300.0,824688.0
1995-09-04,1.17,1.18,1.18,1.17,79400.0,491478.0
1995-09-05,1.18,1.21,1.18,1.18,86200.0,542058.0
1995-09-06,1.18,1.2,1.19,1.18,72900.0,456481.0
1995-09-07,1.15,1.17,1.15,1.15,320900.0,1951090.0
1995-09-08,1.14,1.17,1.17,1.14,177300.0,1067966.0
1995-09-11,1.16,1.16,1.14,1.13,266900.0,1599377.0
1995-09-12,1.17,1.18,1.13,1.13,247000.0,1483845.0
1995-09-13,1.29,1.31,1.29,1.27,218500.0,1271789.0
1995-09-14,1.3,1.3,1.29,1.28,176600.0,1025569.0
1995-09-15,1.26,1.31,1.3,1.24,495000.0,2839852.0
1995-09-18,1.26,1.37,1.35,1.23,1462600.0,8661154.0
1995-09-19,1.34,1.35,1.28,1.27,585500.0,3462336.0
1995-09-20,1.28,1.28,1.26,1.25,274000.0,1558881.0
1995-09-21,1.26,1.27,1.26,1.24,166700.0,948763.0
1995-09-22,1.27,1.27,1.27,1.26,137900.0,785890.0
1995-09-25,1.27,1.27,1.24,1.23,102500.0,575880.0
1995-09-26,1.23,1.26,1.26,1.23,77800.0,436254.0
1995-09-27,1.24,1.24,1.22,1.16,128600.0,707962.0
1995-09-28,1.21,1.21,1.19,1.18,116600.0,629582.0
1995-09-29,1.22,1.25,1.23,1.2,184700.0,1015890.0
1995-10-04,1.21,1.23,1.23,1.21,64400.0,352879.0
1995-10-05,1.22,1.23,1.23,1.2,59600.0,327536.0
1995-10-06,1.22,1.22,1.21,1.21,66300.0,363785.0
1995-10-09,1.21,1.21,1.18,1.17,180700.0,960838.0
