date,open,high,close,low,volume,amount
1993-12-08,3.93,3.95,3.95,3.72,6622800.0,54971000.0
1993-12-09,3.95,3.97,3.88,3.86,2128700.0,17895000.0
1993-12-10,3.88,4.0,3.97,3.79,3342500.0,27930000.0
1993-12-14,3.79,3.88,3.74,3.72,970600.0,7841000.0
1993-12-15,3.72,3.76,3.76,3.63,774300.0,6135000.0
1993-12-16,3.79,3.79,3.6,3.58,628200.0,4977000.0
1993-12-17,3.65,3.72,3.7,3.6,1160300.0,9174000.0
1993-12-20,3.7,3.7,3.28,3.21,1730100.0,12690000.0
1993-12-21,3.25,3.28,3.28,3.16,869600.0,6047000.0
1993-12-22,3.28,3.28,3.23,3.21,854400.0,5963000.0
1993-12-23,3.23,3.23,3.14,3.07,490300.0,3352000.0
1993-12-24,3.09,3.3,3.3,3.09,721500.0,4999000.0
1993-12-27,3.35,3.35,3.23,3.23,337300.0,2368000.0
1993-12-28,3.25,3.3,3.18,3.16,350500.0,2449000.0
1993-12-29,3.16,3.51,3.3,3.16,1056400.0,7460000.0
1993-12-30,3.3,3.32,3.25,3.23,394300.0,2781000.0
1993-12-31,3.25,3.28,3.16,3.16,496700.0,3445000.0
1994-01-03,3.14,3.16,3.16,3.04,302100.0,2037000.0
1994-01-04,3.16,3.18,3.11,3.11,338000.0,2291000.0
1994-01-05,3.16,3.25,3.25,3.07,513400.0,3482000.0
1994-01-06,3.23,3.39,3.39,3.16,1730700.0,12312000.0
1994-01-07,3.39,3.39,3.35,3.25,1103400.0,7928000.0
1994-01-10,3.3,3.49,3.42,3.3,1109100.0,8113000.0
1994-01-11,3.42,3.42,3.35,3.35,868200.0,6325000.0
1994-01-12,3.35,3.39,3.37,3.32,478400.0,3465000.0
1994-01-13,3.37,3.42,3.42,3.35,454800.0,3300000.0
1994-01-14,3.42,3.44,3.35,3.28,890800.0,6456000.0
1994-01-17,3.3,3.3,3.25,3.23,319400.0,2237000.0
1994-01-18,3.25,3.42,3.35,3.16,292100.0,2044000.0
1994-01-19,3.35,3.35,3.23,3.18,268700.0,1875000.0
1994-01-20,3.21,3.28,3.25,3.11,281900.0,1944000.0
1994-01-21,3.21,3.28,3.21,3.21,163900.0,1144000.0
1994-01-24,3.25,3.35,3.28,3.18,278500.0,1949000.0
1994-01-25,3.25,3.25,3.16,3.16,104400.0,713000.0
1994-01-26,3.14,3.25,3.21,3.11,210400.0,1444000.0
1994-01-27,3.18,3.25,3.23,3.07,201100.0,1380000.0
1994-01-28,3.25,3.25,3.14,3.14,76300.0,519000.0
1994-01-31,3.14,3.14,3.07,3.02,282800.0,1863000.0
1994-02-01,3.07,3.11,3.04,2.97,263300.0,1742000.0
1994-02-02,3.02,3.14,3.14,3.02,178400.0,1185000.0
1994-02-03,3.14,3.28,3.25,3.04,524400.0,3628000.0
1994-02-04,3.3,3.37,3.35,3.16,1239100.0,8842000.0
1994-02-14,3.35,3.37,3.09,3.07,382400.0,2608000.0
1994-02-15,3.07,3.11,3.11,2.97,312800.0,2056000.0
1994-02-16,3.11,3.16,3.14,3.04,325800.0,2182000.0
1994-02-17,3.04,3.11,3.09,3.04,109700.0,728000.0
1994-02-18,3.07,3.35,3.32,2.97,1316500.0,9115000.0
1994-02-21,3.39,3.39,3.25,3.23,1980200.0,14059000.0
1994-02-22,3.35,3.53,3.37,3.28,2996000.0,21871000.0
