date,open,high,close,low,volume,amount
2003-04-28,4.62,5.24,5.23,4.6,187469932.0,1512258214.0
2003-04-29,5.08,5.21,5.08,4.94,75212876.0,635863436.0
2003-04-30,5.11,5.44,5.3,5.11,80122537.0,710063498.0
2003-05-12,5.2,5.3,5.19,4.96,36122395.0,308806284.0
2003-05-13,5.17,5.18,4.84,4.78,39277696.0,325715933.0
2003-05-14,4.78,5.08,4.99,4.74,30387370.0,253425348.0
2003-05-15,4.98,5.14,5.11,4.88,28183918.0,236834456.0
2003-05-16,5.11,5.19,5.12,5.0,36065125.0,307204529.0
2003-05-19,5.14,5.37,5.23,5.14,46250444.0,407544272.0
2003-05-20,5.23,5.28,5.19,5.11,17067564.0,147727684.0
2003-05-21,5.19,5.24,5.14,5.09,12859547.0,110939930.0
2003-05-22,5.13,5.21,5.17,5.08,10301282.0,88781118.0
2003-05-23,5.2,5.69,5.45,5.09,72926760.0,670901997.0
2003-05-26,5.44,5.62,5.47,5.43,46718180.0,431132436.0
2003-05-27,5.49,5.55,5.47,5.42,20188005.0,184901453.0
2003-05-28,5.5,5.55,5.39,5.37,33183174.0,302104859.0
2003-05-29,5.39,5.6,5.59,5.36,23025540.0,210900164.0
2003-05-30,5.61,5.7,5.52,5.5,26011735.0,244128620.0
2003-06-02,5.53,5.66,5.55,5.5,21582098.0,201804921.0
2003-06-03,5.56,5.6,5.49,5.48,13226726.0,122447236.0
2003-06-04,5.48,5.56,5.54,5.43,12237084.0,112488205.0
2003-06-05,5.51,5.55,5.47,5.43,12108703.0,110737203.0
2003-06-06,5.44,5.55,5.48,5.42,9715878.0,88911859.0
2003-06-09,5.43,5.5,5.45,5.43,6946622.0,63322602.0
2003-06-10,5.45,5.61,5.55,5.45,16954572.0,157420724.0
2003-06-11,5.56,5.66,5.62,5.54,13992361.0,131429944.0
2003-06-12,5.64,5.65,5.57,5.55,8916546.0,83354483.0
2003-06-13,5.6,5.65,5.57,5.55,6677204.0,62495500.0
2003-06-16,5.57,5.61,5.54,5.48,6645891.0,61435524.0
2003-06-17,5.51,5.54,5.49,5.47,5069464.0,46610786.0
2003-06-18,5.49,5.57,5.46,5.45,6074105.0,55781138.0
2003-06-19,5.46,5.49,5.42,5.39,6532675.0,59409928.0
2003-06-20,5.56,5.56,5.43,5.4,5142399.0,46895164.0
2003-06-23,5.42,5.45,5.41,5.36,6939561.0,62547673.0
2003-06-24,5.4,5.44,5.41,5.36,3128626.0,28250536.0
2003-06-25,5.43,5.44,5.2,5.19,19463165.0,171431598.0
2003-06-27,5.26,5.33,5.21,5.16,11451907.0,100730062.0
2003-06-30,5.2,5.29,5.2,5.17,4754370.0,41484932.0
2003-07-01,5.2,5.3,5.21,5.19,4670093.0,40975090.0
2003-07-02,5.23,5.3,5.29,5.19,3782347.0,33290309.0
2003-07-03,5.29,5.35,5.34,5.23,4373715.0,38777601.0
2003-07-04,5.33,5.41,5.31,5.3,5167603.0,46344703.0
2003-07-07,5.29,5.33,5.28,5.24,3491459.0,30836117.0
2003-07-08,5.27,5.36,5.34,5.27,2671513.0,23762127.0
2003-07-09,5.3,5.34,5.26,5.22,4579623.0,40313934.0
2003-07-10,5.23,5.48,5.42,5.23,14400861.0,130383789.0
2003-07-11,5.43,5.44,5.4,5.35,5906564.0,53304646.0
2003-07-14,5.41,5.52,5.46,5.37,13161595.0,120738561.0
2003-07-15,5.45,5.53,5.48,5.43,5694194.0,52243533.0
2003-07-16,5.48,5.57,5.54,5.46,7188677.0,66481342.0
2003-07-17,5.55,5.73,5.63,5.55,37249551.0,352331960.0
2003-07-18,5.65,5.69,5.53,5.52,20576078.0,193106534.0
2003-07-21,5.51,5.61,5.57,5.48,12269613.0,113916137.0
2003-07-22,5.62,5.72,5.64,5.55,18517160.0,174742503.0
2003-07-23,5.64,5.68,5.6,5.53,8654665.0,81113322.0
2003-07-24,5.61,5.66,5.6,5.54,7071591.0,66442801.0
2003-07-25,5.59,5.62,5.45,5.42,11448433.0,105246679.0
2003-07-28,5.42,5.51,5.47,5.41,3662163.0,33473373.0
2003-07-29,5.45,5.52,5.49,5.44,3490662.0,32023361.0
2003-07-30,5.48,5.53,5.52,5.44,5146319.0,47183248.0
2003-07-31,5.52,5.54,5.48,5.46,3361391.0,30858302.0
2003-08-01,5.48,5.52,5.49,5.44,2624248.0,24017872.0
2003-08-04,5.49,5.51,5.48,5.38,4108140.0,37417266.0
2003-08-05,5.46,5.52,5.49,5.46,1791003.0,16435649.0
2003-08-06,5.48,5.51,5.45,5.42,2296389.0,20929994.0
2003-08-07,5.45,5.55,5.46,5.43,2974920.0,27300943.0
2003-08-08,5.44,5.46,5.39,5.39,3770651.0,34155757.0
2003-08-11,5.39,5.43,5.4,5.36,2562727.0,23102811.0
2003-08-12,5.4,5.48,5.45,5.39,2515019.0,22903208.0
2003-08-13,5.44,5.47,5.42,5.41,1957882.0,17789145.0
2003-08-14,5.39,5.49,5.36,5.34,4848782.0,43790251.0
2003-08-15,5.35,5.36,5.29,5.24,5533055.0,48928386.0
2003-08-18,5.27,5.34,5.3,5.25,1253674.0,11111570.0
2003-08-19,5.3,5.36,5.33,5.29,1123557.0,10005962.0
2003-08-20,5.33,5.36,5.3,5.26,2488037.0,21952082.0
2003-08-21,5.3,5.34,5.3,5.26,1724926.0,15249086.0
2003-08-22,5.27,5.34,5.3,5.26,1044003.0,9270698.0
2003-08-25,5.32,5.32,5.24,5.22,2491398.0,21873077.0
2003-08-26,5.27,5.31,5.24,5.18,2454182.0,21551226.0
2003-08-27,5.24,5.3,5.28,5.2,3374526.0,29607081.0
2003-08-28,5.26,5.35,5.29,5.2,2137716.0,18867513.0
2003-08-29,5.29,5.37,5.36,5.25,2336249.0,20782076.0
2003-09-01,5.38,5.5,5.49,5.33,7027864.0,64056439.0
2003-09-02,5.49,5.53,5.46,5.44,3733999.0,34137025.0
2003-09-03,5.45,5.47,5.45,5.43,2028033.0,18474435.0
2003-09-04,5.44,5.47,5.39,5.38,2197845.0,19961502.0
2003-09-05,5.37,5.38,5.29,5.25,3032140.0,26925323.0
2003-09-08,5.26,5.32,5.28,5.25,2280181.0,20148071.0
2003-09-09,5.28,5.28,5.25,5.21,6835234.0,59961731.0
