date,open,high,close,low,volume,amount
2000-12-18,6.32,6.62,6.32,5.76,38355617.0,692765213.0
2000-12-19,6.22,6.38,6.18,6.08,10639625.0,196803853.0
2000-12-20,6.16,6.8,6.8,6.14,9869968.0,192185972.0
2000-12-21,6.88,7.06,6.9,6.66,13469947.0,274477073.0
2000-12-22,6.86,6.92,6.66,6.62,5779541.0,116114172.0
2000-12-25,6.66,6.83,6.63,6.63,3247070.0,64728650.0
2000-12-26,6.63,6.79,6.78,6.56,3133769.0,61884669.0
2000-12-27,6.78,6.83,6.59,6.56,2318862.0,46034234.0
2000-12-28,6.57,6.62,6.46,6.43,2482379.0,47903455.0
2000-12-29,6.48,6.59,6.52,6.45,1460595.0,28286027.0
2001-01-02,6.56,6.72,6.65,6.49,1488685.0,29189180.0
2001-01-03,6.63,6.82,6.73,6.53,2924473.0,57750271.0
2001-01-04,6.76,6.84,6.7,6.68,2012707.0,40397226.0
2001-01-05,6.7,6.96,6.89,6.7,3639514.0,74294884.0
2001-01-08,6.93,6.96,6.76,6.63,1825391.0,36848841.0
2001-01-09,6.73,6.82,6.72,6.65,1165229.0,23242979.0
2001-01-10,6.72,6.82,6.76,6.64,985915.0,19749781.0
2001-01-11,6.76,6.86,6.74,6.73,1562512.0,31572929.0
2001-01-12,6.73,6.73,6.58,6.57,1455305.0,28722021.0
2001-01-15,6.51,6.58,6.3,6.29,1945744.0,37129531.0
2001-01-16,6.22,6.37,6.36,6.19,1110541.0,20751253.0
2001-01-17,6.36,6.39,6.25,6.22,660520.0,12317851.0
2001-01-18,6.22,6.34,6.26,6.22,728434.0,13585204.0
2001-01-19,6.34,6.42,6.4,6.28,705597.0,13401813.0
2001-02-05,6.41,6.42,6.08,6.06,1108939.0,20395290.0
2001-02-06,6.02,6.06,5.92,5.78,1247545.0,21907952.0
2001-02-07,5.92,6.05,5.96,5.89,547842.0,9684775.0
2001-02-08,5.97,6.03,5.86,5.85,561132.0,9876855.0
2001-02-09,5.89,6.04,5.99,5.89,510099.0,9046360.0
2001-02-12,6.02,6.02,6.0,5.89,263417.0,4673228.0
2001-02-13,6.02,6.08,5.99,5.96,297575.0,5326326.0
2001-02-14,5.92,6.01,5.96,5.92,410417.0,7263429.0
