date,open,high,close,low,volume,amount
1997-05-06,7.54,7.94,7.74,7.54,22173200.0,473233958.0
1997-05-07,7.87,7.94,7.43,7.4,4447800.0,93114662.0
1997-05-08,7.26,7.38,6.95,6.87,3968100.0,78084704.0
1997-05-09,6.87,7.17,7.15,6.72,2304300.0,44110577.0
1997-05-12,7.15,7.22,6.92,6.85,1875500.0,36152863.0
1997-05-13,6.92,6.93,6.82,6.72,1308300.0,24527343.0
1997-05-14,6.72,7.28,6.82,6.72,1700100.0,32685316.0
1997-05-15,6.82,7.04,6.98,6.79,1052400.0,20088398.0
1997-05-16,6.33,6.83,6.29,6.29,1670200.0,30126801.0
1997-05-19,6.32,6.49,6.4,6.28,821500.0,14517351.0
1997-05-20,6.43,6.54,6.43,6.43,748800.0,13490715.0
1997-05-21,6.46,6.46,6.18,6.1,740300.0,12761171.0
1997-05-22,5.56,5.88,5.56,5.56,941800.0,14625804.0
1997-05-23,5.43,5.74,5.49,5.28,1278500.0,19370653.0
1997-05-26,5.53,5.62,5.4,5.32,737900.0,11080082.0
1997-05-27,5.49,5.94,5.94,5.45,2287300.0,36745381.0
1997-05-28,5.89,5.98,5.78,5.72,1297000.0,20826676.0
1997-05-29,5.74,5.96,5.78,5.72,985400.0,15981212.0
1997-06-02,6.1,6.17,6.14,5.85,1215900.0,20236101.0
1997-06-03,6.17,6.24,6.04,6.03,1016800.0,17225345.0
1997-06-04,6.07,6.1,5.96,5.92,634200.0,10470418.0
1997-06-05,5.96,5.96,5.84,5.8,836900.0,13569704.0
1997-06-06,5.32,5.63,5.46,5.32,1418300.0,21463390.0
1997-06-09,5.43,5.52,5.45,5.29,510100.0,7604642.0
1997-06-10,5.46,5.52,5.31,5.31,319500.0,4788616.0
1997-06-11,5.42,5.45,5.39,5.09,459600.0,6673292.0
1997-06-12,5.34,5.42,5.34,5.26,303500.0,4489629.0
1997-06-13,4.98,5.45,5.42,4.98,487200.0,7168922.0
1997-06-16,5.41,5.61,5.51,5.38,524300.0,7986375.0
1997-06-17,5.45,5.49,5.34,5.34,248800.0,3709535.0
1997-06-18,5.48,5.48,5.34,5.27,313100.0,4663429.0
1997-06-19,5.38,5.63,5.42,5.34,876000.0,13335096.0
1997-06-20,5.52,5.63,5.59,5.42,700200.0,10755397.0
1997-06-23,5.66,5.7,5.43,5.41,875100.0,13343997.0
1997-06-24,5.44,5.59,5.52,5.42,467300.0,7114027.0
1997-06-25,5.6,5.6,5.58,5.45,477100.0,7311874.0
1997-06-26,5.53,5.53,5.45,5.42,340300.0,5139279.0
1997-06-27,5.45,5.49,5.34,5.16,625500.0,9231702.0
1997-07-02,5.33,5.41,5.24,4.95,430900.0,6093407.0
1997-07-03,5.04,5.16,4.96,4.91,299800.0,4156646.0
1997-07-04,4.95,4.98,4.91,4.8,400900.0,5413834.0
1997-07-07,4.91,4.94,4.51,4.42,357500.0,4612315.0
1997-07-08,4.48,4.65,4.44,4.3,381500.0,4676348.0
1997-07-09,4.5,4.62,4.55,4.43,255700.0,3227942.0
1997-07-10,4.59,4.61,4.44,4.44,246800.0,3097447.0
1997-07-11,4.56,4.83,4.82,4.44,592700.0,7714464.0
1997-07-14,4.87,4.9,4.87,4.77,712300.0,9540952.0
1997-07-15,4.98,4.98,4.84,4.75,454300.0,6071000.0
1997-07-16,4.84,4.87,4.72,4.69,350500.0,4586181.0
1997-07-17,4.67,4.94,4.89,4.67,532100.0,7146320.0
1997-07-18,4.91,5.16,5.05,4.89,1046100.0,14646988.0
1997-07-21,5.11,5.13,4.91,4.91,303600.0,4171464.0
1997-07-22,4.84,4.91,4.91,4.44,204900.0,2717024.0
1997-07-23,4.87,5.0,4.89,4.85,246000.0,3345862.0
