date,open,high,close,low,volume,amount
1997-06-25,1.58,1.69,1.6,1.53,34095500.0,587851831.0
1997-06-26,1.58,1.76,1.69,1.54,11213100.0,201651256.0
1997-06-27,1.69,1.76,1.65,1.63,8830500.0,160882529.0
1997-07-02,1.66,1.71,1.54,1.49,4605700.0,77620172.0
1997-07-03,1.54,1.55,1.43,1.41,3510700.0,54962828.0
1997-07-04,1.39,1.47,1.43,1.36,1871100.0,28772449.0
1997-07-07,1.43,1.43,1.29,1.29,2038300.0,29624818.0
1997-07-08,1.25,1.32,1.3,1.19,2234100.0,30348046.0
1997-07-09,1.29,1.35,1.33,1.25,1720500.0,24232605.0
1997-07-10,1.33,1.34,1.28,1.28,1334700.0,18768567.0
1997-07-11,1.28,1.38,1.37,1.28,1908700.0,27447052.0
1997-07-14,1.38,1.42,1.39,1.36,2229200.0,33406942.0
1997-07-15,1.39,1.39,1.36,1.33,1672800.0,24411068.0
1997-07-16,1.37,1.41,1.39,1.32,1974300.0,29336600.0
1997-07-17,1.39,1.42,1.38,1.37,1428100.0,21409444.0
1997-07-18,1.39,1.45,1.42,1.37,1775100.0,26882671.0
1997-07-21,1.46,1.46,1.39,1.38,1414900.0,21788328.0
1997-07-22,1.4,1.41,1.41,1.36,1059700.0,15844701.0
1997-07-23,1.42,1.44,1.38,1.38,895600.0,13551519.0
1997-07-24,1.37,1.39,1.35,1.35,600500.0,8842863.0
1997-07-25,1.34,1.35,1.33,1.32,735700.0,10565608.0
1997-07-28,1.31,1.33,1.29,1.29,736600.0,10319185.0
1997-07-29,1.29,1.32,1.3,1.28,510400.0,7167855.0
1997-07-30,1.31,1.35,1.34,1.3,525400.0,7527090.0
1997-07-31,1.35,1.37,1.34,1.33,503600.0,7288772.0
1997-08-01,1.34,1.35,1.35,1.32,394600.0,5688486.0
1997-08-04,1.35,1.39,1.38,1.33,850200.0,12521700.0
1997-08-05,1.38,1.38,1.35,1.34,407100.0,5939351.0
1997-08-06,1.35,1.35,1.32,1.3,452100.0,6526015.0
1997-08-07,1.32,1.35,1.33,1.3,442200.0,6251385.0
1997-08-08,1.33,1.34,1.29,1.29,1078700.0,15180396.0
1997-08-11,1.29,1.33,1.3,1.29,714600.0,10034053.0
1997-08-12,1.33,1.35,1.3,1.3,585900.0,8352016.0
1997-08-13,1.3,1.32,1.28,1.28,467700.0,6546582.0
1997-08-14,1.28,1.32,1.32,1.28,540800.0,7599913.0
1997-08-15,1.32,1.33,1.3,1.28,413500.0,5795673.0
1997-08-18,1.3,1.3,1.27,1.26,393400.0,5413352.0
1997-08-19,1.28,1.32,1.3,1.28,368200.0,5130941.0
1997-08-20,1.3,1.35,1.35,1.3,502200.0,7139660.0
1997-08-21,1.36,1.36,1.34,1.33,769200.0,11137206.0
1997-08-22,1.34,1.36,1.35,1.32,645400.0,9380952.0
1997-08-25,1.35,1.4,1.38,1.35,1010000.0,15031034.0
1997-08-26,1.39,1.42,1.4,1.38,1444500.0,21776565.0
1997-08-27,1.4,1.4,1.39,1.38,746200.0,11143669.0
1997-08-28,1.38,1.4,1.38,1.37,529400.0,7868739.0
1997-08-29,1.39,1.39,1.38,1.36,662800.0,9799730.0
1997-09-01,1.43,1.43,1.38,1.38,698100.0,10455409.0
1997-09-02,1.39,1.41,1.4,1.37,1165100.0,17390275.0
1997-09-03,1.4,1.47,1.45,1.39,2541000.0,39438281.0
1997-09-04,1.45,1.46,1.44,1.44,914100.0,14220546.0
1997-09-05,1.44,1.45,1.43,1.42,539200.0,8294753.0
1997-09-08,1.43,1.44,1.42,1.42,657400.0,10108718.0
1997-09-09,1.43,1.45,1.4,1.4,626100.0,9601857.0
1997-09-10,1.39,1.41,1.4,1.38,495000.0,7395242.0
1997-09-11,1.42,1.42,1.38,1.37,610100.0,9176947.0
1997-09-12,1.38,1.39,1.35,1.35,564000.0,8371786.0
1997-09-15,1.35,1.37,1.31,1.31,512500.0,7323717.0
1997-09-16,1.31,1.36,1.33,1.31,303200.0,4305125.0
1997-09-17,1.32,1.34,1.32,1.31,195300.0,2776178.0
1997-09-18,1.32,1.34,1.33,1.32,204000.0,2910926.0
1997-09-19,1.33,1.35,1.33,1.32,171600.0,2464114.0
1997-09-22,1.35,1.35,1.24,1.24,477800.0,6399025.0
1997-09-23,1.24,1.26,1.18,1.16,546100.0,7142981.0
1997-09-24,1.22,1.27,1.27,1.21,660000.0,8839967.0
1997-09-25,1.28,1.29,1.27,1.26,334600.0,4602405.0
1997-09-26,1.28,1.29,1.24,1.24,225900.0,3056564.0
1997-09-29,1.25,1.25,1.21,1.2,350200.0,4576270.0
1997-09-30,1.22,1.25,1.23,1.21,153800.0,2038837.0
1997-10-06,1.25,1.25,1.23,1.23,106500.0,1417833.0
1997-10-07,1.24,1.24,1.23,1.21,88400.0,1166498.0
1997-10-08,1.25,1.29,1.27,1.25,227100.0,3101919.0
1997-10-09,1.27,1.27,1.25,1.25,135400.0,1833215.0
1997-10-10,1.25,1.27,1.26,1.25,128900.0,1746812.0
1997-10-13,1.26,1.27,1.24,1.24,164300.0,2207663.0
1997-10-14,1.22,1.24,1.23,1.22,218900.0,2891100.0
1997-10-15,1.24,1.25,1.24,1.22,277800.0,3695965.0
1997-10-16,1.25,1.31,1.29,1.25,865100.0,12009209.0
1997-10-17,1.31,1.34,1.3,1.3,615100.0,8731416.0
1997-10-20,1.32,1.35,1.33,1.31,789900.0,11301183.0
1997-10-21,1.33,1.37,1.36,1.31,795900.0,11480897.0
1997-10-22,1.36,1.36,1.33,1.29,678500.0,9727474.0
1997-10-23,1.31,1.33,1.31,1.29,463800.0,6551996.0
1997-10-24,1.31,1.33,1.32,1.3,743800.0,10512007.0
1997-10-27,1.33,1.39,1.39,1.33,1346900.0,19805981.0
1997-10-28,1.39,1.4,1.33,1.3,1088800.0,15782839.0
1997-10-29,1.31,1.33,1.32,1.29,1014100.0,14274038.0
1997-10-30,1.33,1.36,1.31,1.31,679000.0,9732721.0
1997-10-31,1.3,1.33,1.32,1.29,511300.0,7182614.0
1997-11-03,1.34,1.35,1.31,1.31,291400.0,4145615.0
1997-11-04,1.31,1.32,1.31,1.3,284700.0,4010975.0
1997-11-05,1.31,1.36,1.34,1.31,725800.0,10429003.0
1997-11-06,1.35,1.38,1.35,1.33,867900.0,12712322.0
1997-11-07,1.34,1.39,1.38,1.33,964100.0,14189877.0
1997-11-10,1.39,1.44,1.42,1.38,2908300.0,44346625.0
1997-11-11,1.41,1.41,1.39,1.35,949200.0,14158400.0
1997-11-12,1.39,1.41,1.35,1.35,641400.0,9489499.0
1997-11-13,1.35,1.37,1.37,1.31,623300.0,8973716.0
1997-11-14,1.36,1.38,1.36,1.34,398900.0,5856735.0
1997-11-17,1.39,1.39,1.35,1.35,292600.0,4299652.0
1997-11-18,1.35,1.36,1.34,1.32,416500.0,5966084.0
1997-11-19,1.35,1.36,1.34,1.32,231200.0,3322472.0
1997-11-20,1.31,1.34,1.32,1.31,306900.0,4377017.0
1997-11-21,1.32,1.32,1.3,1.3,434400.0,6119541.0
1997-11-24,1.28,1.29,1.27,1.27,443700.0,6125370.0
1997-11-25,1.26,1.28,1.27,1.26,345500.0,4710771.0
1997-11-26,1.27,1.29,1.29,1.26,284900.0,3909000.0
1997-11-27,1.29,1.29,1.25,1.25,277500.0,3790000.0
1997-11-28,1.25,1.29,1.28,1.24,264800.0,3576000.0
1997-12-01,1.28,1.3,1.28,1.26,182500.0,2508854.0
1997-12-02,1.28,1.3,1.28,1.26,187500.0,2593427.0
1997-12-03,1.28,1.28,1.27,1.25,185200.0,2523059.0
1997-12-04,1.28,1.31,1.3,1.27,397900.0,5533670.0
1997-12-05,1.33,1.33,1.31,1.3,390900.0,5515038.0
1997-12-08,1.31,1.33,1.32,1.31,188500.0,2679240.0
1997-12-09,1.32,1.34,1.33,1.32,195400.0,2787847.0
1997-12-10,1.34,1.34,1.33,1.32,207600.0,2975029.0
1997-12-11,1.33,1.33,1.33,1.31,277500.0,3946866.0
1997-12-12,1.33,1.35,1.32,1.32,373100.0,5353379.0
1997-12-15,1.32,1.36,1.36,1.32,562400.0,8154170.0
1997-12-16,1.36,1.36,1.36,1.34,421400.0,6120936.0
1997-12-17,1.34,1.34,1.31,1.3,389500.0,5527232.0
1997-12-18,1.3,1.31,1.3,1.29,417800.0,5832838.0
1997-12-19,1.38,1.38,1.33,1.32,588000.0,8422873.0
1997-12-22,1.34,1.41,1.38,1.31,1145100.0,16704979.0
1997-12-23,1.39,1.4,1.36,1.36,559500.0,8236677.0
1997-12-24,1.36,1.38,1.36,1.35,460900.0,6748321.0
1997-12-25,1.36,1.4,1.4,1.35,1317000.0,19638179.0
1997-12-26,1.4,1.43,1.4,1.38,1349300.0,20404943.0
1997-12-29,1.4,1.44,1.38,1.37,999100.0,15231034.0
1997-12-30,1.38,1.41,1.38,1.38,479400.0,7151985.0
1997-12-31,1.39,1.4,1.4,1.38,564800.0,8471156.0
1998-01-05,1.4,1.46,1.44,1.39,1680100.0,26071571.0
1998-01-06,1.45,1.51,1.48,1.44,2445200.0,39095576.0
1998-01-07,1.48,1.49,1.48,1.45,1158100.0,18304215.0
1998-01-08,1.48,1.51,1.47,1.45,1389800.0,22212221.0
1998-01-09,1.47,1.49,1.47,1.41,1234200.0,19347385.0
1998-01-12,1.47,1.5,1.45,1.45,1785800.0,28579545.0
1998-01-13,1.42,1.42,1.36,1.31,1873500.0,27459041.0
1998-01-14,1.37,1.39,1.38,1.36,1250000.0,18511280.0
1998-01-15,1.39,1.45,1.43,1.38,1390800.0,21389636.0
1998-01-16,1.44,1.45,1.44,1.41,884500.0,13585302.0
1998-01-19,1.43,1.47,1.44,1.42,466600.0,7250366.0
1998-01-20,1.42,1.45,1.41,1.39,484500.0,7382521.0
1998-01-21,1.39,1.43,1.4,1.39,316700.0,4783197.0
1998-01-22,1.4,1.42,1.41,1.38,329700.0,4997171.0
1998-01-23,1.43,1.45,1.44,1.41,489300.0,7543605.0
1998-02-09,1.48,1.51,1.49,1.46,2134700.0,34368917.0
