date,open,high,close,low,volume,amount
1994-08-24,1.01,1.04,0.9,0.87,27629600.0,499633000.0
1994-08-25,0.9,0.91,0.9,0.87,4775900.0,78609720.0
1994-08-26,0.92,0.93,0.86,0.86,3263800.0,53958544.0
1994-08-29,0.87,0.88,0.81,0.78,4422200.0,55640816.0
1994-08-30,0.82,0.89,0.83,0.82,6568500.0,87034441.0
1994-08-31,0.85,0.86,0.83,0.81,3643200.0,46656284.0
1994-09-01,0.84,0.89,0.84,0.83,3388800.0,44759499.0
1994-09-02,0.85,0.87,0.87,0.85,2438400.0,32267378.0
1994-09-05,0.92,0.97,0.96,0.9,7220800.0,104000000.0
1994-09-06,0.99,1.08,1.07,0.96,9576700.0,151000000.0
1994-09-07,1.07,1.14,1.09,0.97,10580200.0,177000000.0
1994-09-08,1.12,1.18,1.18,1.06,7378600.0,127000000.0
1994-09-09,1.17,1.25,1.22,1.16,6908700.0,129000000.0
1994-09-12,1.28,1.34,1.33,1.26,4880400.0,98182373.0
1994-09-13,1.34,1.34,1.3,1.25,1701900.0,33844439.0
1994-09-14,1.3,1.3,1.17,1.17,1165000.0,21785496.0
1994-09-15,1.2,1.2,1.17,1.12,1072400.0,19031158.0
1994-09-16,1.17,1.17,1.17,1.09,959100.0,16642440.0
1994-09-19,1.12,1.14,1.1,1.09,957800.0,16410824.0
1994-09-20,1.1,1.12,1.1,1.07,340400.0,5777235.0
1994-09-21,1.14,1.15,1.14,1.12,545000.0,9495094.0
1994-09-22,1.16,1.16,1.14,1.08,1287600.0,22619892.0
1994-09-23,1.1,1.11,1.04,1.01,597300.0,9697962.0
1994-09-26,1.03,1.04,1.04,1.01,340200.0,5363477.0
1994-09-27,1.03,1.03,1.02,1.01,263200.0,4149892.0
1994-09-28,1.02,1.06,1.06,1.01,472800.0,7582669.0
1994-09-29,1.04,1.07,0.96,0.92,409500.0,6252581.0
1994-09-30,0.91,0.94,0.89,0.84,274200.0,3811669.0
1994-10-05,0.82,0.86,0.83,0.79,206200.0,2630290.0
1994-10-06,0.86,0.89,0.81,0.79,227800.0,2952290.0
1994-10-07,0.83,0.97,0.91,0.64,707400.0,8368103.0
1994-10-10,0.84,0.91,0.88,0.78,770100.0,10324544.0
1994-10-11,0.88,0.91,0.89,0.86,165900.0,2251308.0
1994-10-12,0.89,0.93,0.92,0.88,325800.0,4576543.0
1994-10-13,0.92,0.92,0.86,0.85,471500.0,6336534.0
1994-10-14,0.8,0.9,0.89,0.78,191000.0,2524948.0
1994-10-17,0.84,0.86,0.85,0.82,43600.0,566945.0
1994-10-18,0.84,0.91,0.89,0.84,307300.0,4182926.0
1994-10-19,0.91,0.94,0.94,0.89,452600.0,6410653.0
1994-10-20,0.95,1.0,1.0,0.95,882000.0,13162601.0
1994-10-21,0.95,1.04,0.99,0.95,696900.0,10671865.0
1994-10-24,1.01,1.09,1.09,1.01,665400.0,10686204.0
1994-10-25,1.1,1.1,1.04,1.04,672900.0,11078843.0
1994-10-26,1.01,1.02,0.99,0.97,125200.0,1902673.0
1994-10-27,0.98,1.05,1.01,0.96,164300.0,2514504.0
1994-10-28,1.0,1.01,1.0,0.97,110500.0,1677379.0
1994-10-31,0.94,0.98,0.97,0.94,122900.0,1810758.0
1994-11-01,0.99,1.0,0.99,0.96,113300.0,1708841.0
1994-11-02,0.96,0.99,0.97,0.96,19900.0,297677.0
1994-11-03,0.98,1.03,1.01,0.98,874100.0,13552211.0
1994-11-04,1.01,1.02,0.97,0.94,2873400.0,42543983.0
1994-11-07,0.95,0.97,0.96,0.94,111400.0,1638107.0
1994-11-08,0.96,1.02,0.97,0.95,379700.0,5801244.0
1994-11-09,0.97,0.98,0.97,0.95,116800.0,1742136.0
1994-11-10,0.99,0.99,0.96,0.95,136400.0,2027074.0
1994-11-11,0.97,0.99,0.99,0.95,119000.0,1781149.0
1994-11-14,0.99,1.0,0.99,0.97,303600.0,4635570.0
1994-11-15,0.97,0.99,0.97,0.95,69800.0,1044726.0
1994-11-16,0.97,0.98,0.97,0.94,135200.0,1992939.0
1994-11-17,0.96,0.97,0.95,0.94,63800.0,932960.0
1994-11-18,0.94,0.96,0.95,0.93,32800.0,476882.0
1994-11-21,0.94,0.96,0.96,0.94,29900.0,434723.0
1994-11-22,0.96,0.96,0.92,0.92,70900.0,1015982.0
